marker	LG	gPos	gOrder	chr	pPos	pOrder
2A_248991761	2B	530.3944248	1788	2A	248991761	1211
2B_341916822	2B	530.3944248	1789	2B	341916822	1807
2B_342791758	2B	532.5552969	1790	2B	342791758	1813
2B_343158768	2B	532.5552969	1791	2B	343158768	1814
2B_343161519	2B	532.5552969	1792	2B	343161519	1815
2B_341847390	2B	532.5552969	1793	2B	341847390	1806
2B_344371939	2B	536.9079431	1794	2B	344371939	1820
2A_247304858	2B	541.9965278	1795	2A	247304858	1204
2B_344750859	2B	541.9965278	1796	2B	344750859	1823
2B_343986363	2B	545.1865977	1797	2B	343986363	1819
3A_211625	3A	0	1798	3A	211625	1824
3A_530829	3A	0	1799	3A	530829	1827
3A_531662	3A	0	1800	3A	531662	1828
3A_775402	3A	0	1801	3A	775402	1830
3A_3545059	3A	0	1802	3A	3545059	1880
3A_256016	3A	3.195421993	1803	3A	256016	1825
3A_440863	3A	6.875917619	1804	3A	440863	1826
3B_1723801	3A	6.875917619	1805	3B	1723801	2255
3A_2545248	3A	6.875917619	1806	3A	2545248	1856
3A_585889	3A	6.875917619	1807	3A	585889	1829
3A_1036628	3A	10.13698681	1808	3A	1036628	1836
3A_1330351	3A	12.60304442	1809	3A	1330351	1841
3A_1330545	3A	12.60304442	1810	3A	1330545	1842
3A_939542	3A	15.01138228	1811	3A	939542	1831
3A_969791	3A	15.01138228	1812	3A	969791	1833
3A_1004612	3A	15.01138228	1813	3A	1004612	1834
3A_1124816	3A	15.01138228	1814	3A	1124816	1837
3A_1144196	3A	15.01138228	1815	3A	1144196	1838
3B_13978695	3A	18.28683734	1816	3B	13978695	2289
3A_1705749	3A	18.28683734	1817	3A	1705749	1844
3A_2554725	3A	18.28683734	1818	3A	2554725	1857
3B_12129537	3A	18.28683734	1819	3B	12129537	2286
3A_1238061	3A	18.28683734	1820	3A	1238061	1840
3A_1507012	3A	18.28683734	1821	3A	1507012	1843
3A_1931275	3A	18.28683734	1822	3A	1931275	1849
3A_2760166	3A	18.28683734	1823	3A	2760166	1860
3A_2763166	3A	18.28683734	1824	3A	2763166	1862
3A_1728990	3A	18.28683734	1825	3A	1728990	1846
3A_940858	3A	18.28683734	1826	3A	940858	1832
3A_1027843	3A	18.28683734	1827	3A	1027843	1835
3A_1147311	3A	18.28683734	1828	3A	1147311	1839
3A_1705947	3A	18.28683734	1829	3A	1705947	1845
3A_2345234	3A	18.28683734	1830	3A	2345234	1853
3A_2761196	3A	18.28683734	1831	3A	2761196	1861
3A_2502621	3A	18.28683734	1832	3A	2502621	1855
3A_2240581	3A	18.28683734	1833	3A	2240581	1850
3A_2947481	3A	21.8657121	1834	3A	2947481	1870
3A_2738278	3A	21.8657121	1835	3A	2738278	1859
3A_2944376	3A	21.8657121	1836	3A	2944376	1869
3B_17307840	3A	21.8657121	1837	3B	17307840	2299
3A_2378812	3A	21.8657121	1838	3A	2378812	1854
3A_3085788	3A	21.8657121	1839	3A	3085788	1872
3A_3199321	3A	24.90385709	1840	3A	3199321	1874
3A_3182008	3A	27.66900953	1841	3A	3182008	1873
3A_3427390	3A	27.66900953	1842	3A	3427390	1877
3A_2859723	3A	27.66900953	1843	3A	2859723	1864
3A_2316503	3A	30.28394031	1844	3A	2316503	1852
3A_1795425	3A	30.28394031	1845	3A	1795425	1847
3A_2314870	3A	30.28394031	1846	3A	2314870	1851
3A_2916090	3A	34.86131314	1847	3A	2916090	1868
3A_2863715	3A	34.86131314	1848	3A	2863715	1865
3A_1850863	3A	39.8712289	1849	3A	1850863	1848
3A_4119723	3A	39.8712289	1850	3A	4119723	1886
3A_3517679	3A	39.8712289	1851	3A	3517679	1879
3A_2676711	3A	39.8712289	1852	3A	2676711	1858
3A_2873020	3A	39.8712289	1853	3A	2873020	1866
3A_3516637	3A	39.8712289	1854	3A	3516637	1878
3A_4070095	3A	43.17288379	1855	3A	4070095	1885
3A_2788135	3A	45.80193962	1856	3A	2788135	1863
3A_3614579	3A	45.80193962	1857	3A	3614579	1883
3A_3579549	3A	45.80193962	1858	3A	3579549	1882
3A_3002472	3A	45.80193962	1859	3A	3002472	1871
3A_4182216	3A	49.34237867	1860	3A	4182216	1888
3A_3252249	3A	49.34237867	1861	3A	3252249	1875
3A_4146509	3A	49.34237867	1862	3A	4146509	1887
3A_3690376	3A	49.34237867	1863	3A	3690376	1884
3A_3366955	3A	49.34237867	1864	3A	3366955	1876
3A_3557042	3A	53.65170136	1865	3A	3557042	1881
3A_5137725	3A	59.72906536	1866	3A	5137725	1890
3A_4660703	3A	67.55047723	1867	3A	4660703	1889
3A_6646355	3A	78.53048714	1868	3A	6646355	1906
3A_6263701	3A	81.92238293	1869	3A	6263701	1901
3A_6901595	3A	85.73049695	1870	3A	6901595	1908
3A_6293288	3A	85.73049695	1871	3A	6293288	1902
3A_5618638	3A	85.73049695	1872	3A	5618638	1894
3A_5702820	3A	85.73049695	1873	3A	5702820	1896
3A_6587583	3A	88.61085878	1874	3A	6587583	1904
3A_6588035	3A	90.40925235	1875	3A	6588035	1905
3A_6163873	3A	93.25770897	1876	3A	6163873	1900
3A_6489166	3A	93.25770897	1877	3A	6489166	1903
3A_5690886	3A	93.25770897	1878	3A	5690886	1895
3A_6664551	3A	96.94704646	1879	3A	6664551	1907
3A_5953900	3A	96.94704646	1880	3A	5953900	1899
3A_5953213	3A	96.94704646	1881	3A	5953213	1898
3A_5791116	3A	100.1142775	1882	3A	5791116	1897
3A_5512692	3A	100.1142775	1883	3A	5512692	1892
3A_5555523	3A	103.2670142	1884	3A	5555523	1893
3B_46299472	3A	108.7979921	1885	3B	46299472	2364
5A_127939234	3A	108.7979921	1886	5A	127939234	4166
3A_7973255	3A	108.7979921	1887	3A	7973255	1915
6B_189798257	3A	108.7979921	1888	6B	189798257	5640
3A_7728608	3A	113.110575	1889	3A	7728608	1913
6B_105404688	3A	113.110575	1890	6B	105404688	5522
1A_247564332	3A	116.7525119	1891	1A	247564332	461
3B_48905045	3A	116.7525119	1892	3B	48905045	2370
3A_7100643	3A	120.5534761	1893	3A	7100643	1909
3A_7234987	3A	120.5534761	1894	3A	7234987	1910
3A_7563270	3A	124.4387196	1895	3A	7563270	1911
3A_15760872	3A	128.8434425	1896	3A	15760872	1936
3A_7755731	3A	128.8434425	1897	3A	7755731	1914
3A_8259530	3A	128.8434425	1898	3A	8259530	1916
5A_109447515	3A	140.0470825	1899	5A	109447515	4078
3A_11335128	3A	140.0470825	1900	3A	11335128	1921
3A_9300470	3A	144.7564665	1901	3A	9300470	1917
3A_9452480	3A	149.017811	1902	3A	9452480	1918
2B_337496026	3A	153.2776757	1903	2B	337496026	1784
3A_12998102	3A	153.2776757	1904	3A	12998102	1925
3A_11202344	3A	153.2776757	1905	3A	11202344	1920
3A_13047014	3A	153.2776757	1906	3A	13047014	1926
3A_12937786	3A	153.2776757	1907	3A	12937786	1923
3A_12968828	3A	153.2776757	1908	3A	12968828	1924
3A_12533058	3A	157.4021485	1909	3A	12533058	1922
3A_13638090	3A	161.488902	1910	3A	13638090	1927
3B_74733912	3A	161.488902	1911	3B	74733912	2417
3A_15398564	3A	167.0958433	1912	3A	15398564	1934
3B_79639352	3A	167.0958433	1913	3B	79639352	2423
3A_15000194	3A	167.0958433	1914	3A	15000194	1933
3A_14815774	3A	169.5773592	1915	3A	14815774	1932
3A_14338407	3A	169.5773592	1916	3A	14338407	1931
3A_14305054	3A	172.1891123	1917	3A	14305054	1928
3A_38538554	3A	172.1891123	1918	3A	38538554	1963
3A_20881183	3A	175.4523548	1919	3A	20881183	1943
3A_14313147	3A	175.4523548	1920	3A	14313147	1930
3A_24598673	3A	178.0472639	1921	3A	24598673	1949
3A_24818243	3A	178.0472639	1922	3A	24818243	1951
3A_17751387	3A	180.7948157	1923	3A	17751387	1939
3A_24457626	3A	180.7948157	1924	3A	24457626	1947
3A_14305599	3A	180.7948157	1925	3A	14305599	1929
3A_21473324	3A	180.7948157	1926	3A	21473324	1944
3A_24814442	3A	180.7948157	1927	3A	24814442	1950
3A_22857820	3A	180.7948157	1928	3A	22857820	1945
3A_17909123	3A	180.7948157	1929	3A	17909123	1940
3A_20616941	3A	183.6005632	1930	3A	20616941	1942
3A_24469469	3A	183.6005632	1931	3A	24469469	1948
3A_18703583	3A	186.2558057	1932	3A	18703583	1941
3B_134340157	3A	186.2558057	1933	3B	134340157	2456
3A_52535733	3A	188.7207556	1934	3A	52535733	1968
3A_55266723	3A	188.7207556	1935	3A	55266723	1971
3A_103862882	3A	188.7207556	1936	3A	103862882	2003
3A_27656859	3A	188.7207556	1937	3A	27656859	1954
3A_112493383	3A	188.7207556	1938	3A	112493383	2012
3B_154674595	3A	188.7207556	1939	3B	154674595	2474
3A_103392608	3A	188.7207556	1940	3A	103392608	2000
3A_33667262	3A	192.0674715	1941	3A	33667262	1961
3A_109383444	3A	192.0674715	1942	3A	109383444	2011
3A_33584242	3A	192.0674715	1943	3A	33584242	1960
3A_36588283	3A	192.0674715	1944	3A	36588283	1962
3B_216214654	3A	192.0674715	1945	3B	216214654	2514
5B_199278824	3A	192.0674715	1946	5B	199278824	4551
3B_146903386	3A	192.0674715	1947	3B	146903386	2466
3B_202769684	3A	192.0674715	1948	3B	202769684	2508
3B_231624896	3A	192.0674715	1949	3B	231624896	2519
3A_27250273	3A	192.0674715	1950	3A	27250273	1953
3A_29506048	3A	192.0674715	1951	3A	29506048	1956
3A_104123510	3A	192.0674715	1952	3A	104123510	2004
3A_69401603	3A	195.1847908	1953	3A	69401603	1977
3B_390401334	3A	195.1847908	1954	3B	390401334	2557
3A_38687700	3A	195.1847908	1955	3A	38687700	1964
3A_45623064	3A	195.1847908	1956	3A	45623064	1965
2A_46171061	3A	195.1847908	1957	2A	46171061	836
3B_270034549	3A	195.1847908	1958	3B	270034549	2530
3B_318240555	3A	197.4093696	1959	3B	318240555	2535
3A_101134888	3A	200.7680425	1960	3A	101134888	1996
3A_30138305	3A	200.7680425	1961	3A	30138305	1957
3A_81496161	3A	200.7680425	1962	3A	81496161	1984
3A_101950095	3A	200.7680425	1963	3A	101950095	1997
3A_17005147	3A	200.7680425	1964	3A	17005147	1937
3A_102229914	3A	200.7680425	1965	3A	102229914	1998
3B_581297254	3A	200.7680425	1966	3B	581297254	2700
3A_75190660	3A	200.7680425	1967	3A	75190660	1980
3A_32308890	3A	200.7680425	1968	3A	32308890	1959
3A_90662666	3A	200.7680425	1969	3A	90662666	1987
3A_73054526	3A	200.7680425	1970	3A	73054526	1978
3A_52102182	3A	200.7680425	1971	3A	52102182	1967
3A_88211275	3A	200.7680425	1972	3A	88211275	1986
3A_31912756	3A	200.7680425	1973	3A	31912756	1958
3A_107094103	3A	200.7680425	1974	3A	107094103	2009
3A_29137256	3A	205.6911132	1975	3A	29137256	1955
3A_62958130	3A	205.6911132	1976	3A	62958130	1975
3A_63580722	3A	205.6911132	1977	3A	63580722	1976
3A_73170778	3A	205.6911132	1978	3A	73170778	1979
3A_81405685	3A	205.6911132	1979	3A	81405685	1983
3A_92178705	3A	205.6911132	1980	3A	92178705	1990
3A_97020063	3A	205.6911132	1981	3A	97020063	1995
3A_103540963	3A	205.6911132	1982	3A	103540963	2001
3A_103541912	3A	205.6911132	1983	3A	103541912	2002
3A_104801025	3A	205.6911132	1984	3A	104801025	2005
3A_107136717	3A	205.6911132	1985	3A	107136717	2010
3A_105965261	3A	205.6911132	1986	3A	105965261	2007
3A_102349986	3A	210.043074	1987	3A	102349986	1999
3A_147967985	3A	210.043074	1988	3A	147967985	2053
3A_125458040	3A	212.6202743	1989	3A	125458040	2016
3A_96498421	3A	212.6202743	1990	3A	96498421	1994
3A_121257519	3A	215.1188568	1991	3A	121257519	2014
3A_125615573	3A	218.8524017	1992	3A	125615573	2017
3A_141102036	3A	218.8524017	1993	3A	141102036	2038
3A_128651644	3A	218.8524017	1994	3A	128651644	2021
3A_138988975	3A	218.8524017	1995	3A	138988975	2034
3A_104818280	3A	218.8524017	1996	3A	104818280	2006
3A_135103754	3A	218.8524017	1997	3A	135103754	2030
3A_135519756	3A	218.8524017	1998	3A	135519756	2032
3A_139837011	3A	218.8524017	1999	3A	139837011	2036
3A_153783271	3A	218.8524017	2000	3A	153783271	2060
3A_151536111	3A	218.8524017	2001	3A	151536111	2057
3A_154130080	3A	218.8524017	2002	3A	154130080	2064
5A_12457622	3A	224.1923802	2003	5A	12457622	3866
3A_26302671	3A	224.1923802	2004	3A	26302671	1952
3A_92118684	3A	226.7346307	2005	3A	92118684	1989
3A_150420108	3A	226.7346307	2006	3A	150420108	2056
3A_154777359	3A	229.3030892	2007	3A	154777359	2065
3A_132571003	3A	229.3030892	2008	3A	132571003	2028
3A_153830042	3A	229.3030892	2009	3A	153830042	2061
3A_153946351	3A	229.3030892	2010	3A	153946351	2062
3A_147656782	3A	229.3030892	2011	3A	147656782	2051
3A_149459775	3A	229.3030892	2012	3A	149459775	2055
3A_144815641	3A	229.3030892	2013	3A	144815641	2046
3A_147658176	3A	231.9690831	2014	3A	147658176	2052
3A_141137246	3A	231.9690831	2015	3A	141137246	2039
3A_143588673	3A	236.3116553	2016	3A	143588673	2042
3A_128983670	3A	236.3116553	2017	3A	128983670	2023
3A_141740547	3A	236.3116553	2018	3A	141740547	2040
3A_144013759	3A	236.3116553	2019	3A	144013759	2043
3A_93671766	3A	236.3116553	2020	3A	93671766	1991
3A_131969270	3A	236.3116553	2021	3A	131969270	2026
3A_139007555	3A	236.3116553	2022	3A	139007555	2035
3A_142855601	3A	236.3116553	2023	3A	142855601	2041
3A_144702967	3A	236.3116553	2024	3A	144702967	2045
3A_129004251	3A	236.3116553	2025	3A	129004251	2024
3A_129057299	3A	236.3116553	2026	3A	129057299	2025
3A_133307479	3A	236.3116553	2027	3A	133307479	2029
3B_550580785	3A	239.4939463	2028	3B	550580785	2669
3A_140501085	3A	242.4088663	2029	3A	140501085	2037
4B_33743006	3A	244.912492	2030	4B	33743006	3552
3A_135491261	3A	244.912492	2031	3A	135491261	2031
3A_144902952	3A	244.912492	2032	3A	144902952	2047
3A_128689084	3A	244.912492	2033	3A	128689084	2022
3A_126120690	3A	248.1751122	2034	3A	126120690	2018
3A_128046765	3A	248.1751122	2035	3A	128046765	2020
3A_132163150	3A	248.1751122	2036	3A	132163150	2027
3B_564247231	3A	251.8323609	2037	3B	564247231	2683
3A_145650858	3A	255.4173228	2038	3A	145650858	2049
3B_194096537	3A	260.0958578	2039	3B	194096537	2504
6A_155814292	3A	264.1774991	2040	6A	155814292	5130
3A_148642096	3A	264.1774991	2041	3A	148642096	2054
3A_146409929	3A	264.1774991	2042	3A	146409929	2050
3A_154005807	3A	264.1774991	2043	3A	154005807	2063
3A_151710846	3A	266.7615853	2044	3A	151710846	2058
3A_156732271	3A	269.398565	2045	3A	156732271	2068
3A_156556634	3A	272.1216393	2046	3A	156556634	2066
3B_595184179	3A	275.6191287	2047	3B	595184179	2708
3A_156614548	3A	277.9074459	2048	3A	156614548	2067
1A_197674413	3A	280.9138339	2049	1A	197674413	256
3A_158246846	3A	284.6493765	2050	3A	158246846	2071
3A_56392997	3A	287.517626	2051	3A	56392997	1973
3A_157252453	3A	287.517626	2052	3A	157252453	2070
1A_101052540	3A	287.517626	2053	1A	101052540	178
3A_56390592	3A	287.517626	2054	3A	56390592	1972
3B_635350716	3A	294.5309829	2055	3B	635350716	2746
3A_160235819	3A	295.7540256	2056	3A	160235819	2079
3A_159313242	3A	296.9069693	2057	3A	159313242	2075
3A_159074767	3A	296.9069693	2058	3A	159074767	2073
3A_158702107	3A	298.7666185	2059	3A	158702107	2072
3A_160157334	3A	298.7666185	2060	3A	160157334	2078
3A_163104004	3A	298.7666185	2061	3A	163104004	2093
3A_162658370	3A	300.252301	2062	3A	162658370	2087
3A_162023859	3A	300.252301	2063	3A	162023859	2083
3A_160118254	3A	300.252301	2064	3A	160118254	2076
3A_162998449	3A	301.8445036	2065	3A	162998449	2089
3A_160136684	3A	303.0816775	2066	3A	160136684	2077
3A_163091480	3A	303.0816775	2067	3A	163091480	2092
3A_160311646	3A	303.0816775	2068	3A	160311646	2080
3A_162553910	3A	303.0816775	2069	3A	162553910	2086
3A_162202701	3A	303.0816775	2070	3A	162202701	2085
3A_163088703	3A	303.0816775	2071	3A	163088703	2091
3A_161504594	3A	304.9717075	2072	3A	161504594	2081
3A_162894415	3A	304.9717075	2073	3A	162894415	2088
3A_163024257	3A	304.9717075	2074	3A	163024257	2090
3A_159128061	3A	304.9717075	2075	3A	159128061	2074
3A_161644173	3A	304.9717075	2076	3A	161644173	2082
3A_163438193	3A	307.7867908	2077	3A	163438193	2094
3A_164224505	3A	307.7867908	2078	3A	164224505	2099
3A_164205873	3A	307.7867908	2079	3A	164205873	2098
3A_164202094	3A	307.7867908	2080	3A	164202094	2097
3B_649867641	3A	307.7867908	2081	3B	649867641	2762
3A_162145073	3A	310.0794176	2082	3A	162145073	2084
3A_163508424	3A	313.9392838	2083	3A	163508424	2095
3A_163867580	3A	313.9392838	2084	3A	163867580	2096
3A_165399410	3A	318.1717065	2085	3A	165399410	2106
3B_657552457	3A	318.1717065	2086	3B	657552457	2775
3B_660799601	3A	318.1717065	2087	3B	660799601	2784
3B_657686756	3A	318.1717065	2088	3B	657686756	2776
3A_165582441	3A	318.1717065	2089	3A	165582441	2107
4A_171891598	3A	318.1717065	2090	4A	171891598	3227
3A_164828385	3A	318.1717065	2091	3A	164828385	2102
3A_165049525	3A	318.1717065	2092	3A	165049525	2103
3A_165224034	3A	318.1717065	2093	3A	165224034	2104
3B_657495621	3A	318.1717065	2094	3B	657495621	2774
3A_164600433	3A	318.1717065	2095	3A	164600433	2101
3A_165583726	3A	323.6606395	2096	3A	165583726	2108
3A_165237023	3A	327.8138014	2097	3A	165237023	2105
3A_165877362	3A	330.7664314	2098	3A	165877362	2109
3B_664520121	3A	330.7664314	2099	3B	664520121	2791
6A_193661056	3A	335.4029386	2100	6A	193661056	5200
3A_164419490	3A	335.4029386	2101	3A	164419490	2100
3B_678502713	3A	335.4029386	2102	3B	678502713	2809
3A_168383863	3A	335.4029386	2103	3A	168383863	2116
3A_168009921	3A	338.2055747	2104	3A	168009921	2113
3A_168075102	3A	338.2055747	2105	3A	168075102	2114
3A_166686334	3A	341.424703	2106	3A	166686334	2111
3B_691260350	3A	344.7361109	2107	3B	691260350	2822
3A_168522728	3A	344.7361109	2108	3A	168522728	2117
3A_166656786	3A	344.7361109	2109	3A	166656786	2110
3A_167994121	3A	344.7361109	2110	3A	167994121	2112
3B_693513039	3A	349.2187832	2111	3B	693513039	2824
3A_170810667	3A	349.2187832	2112	3A	170810667	2125
3A_168221141	3A	352.935619	2113	3A	168221141	2115
4A_202021185	3A	356.6239504	2114	4A	202021185	3362
3A_170028328	3A	356.6239504	2115	3A	170028328	2121
3A_173122978	3A	356.6239504	2116	3A	173122978	2144
3A_173505843	3A	356.6239504	2117	3A	173505843	2149
3A_174616856	3A	356.6239504	2118	3A	174616856	2155
3B_706615678	3A	356.6239504	2119	3B	706615678	2842
2A_172033288	3A	356.6239504	2120	2A	172033288	995
3A_175581446	3A	356.6239504	2121	3A	175581446	2163
1A_169289204	3A	356.6239504	2122	1A	169289204	219
3A_169437480	3A	356.6239504	2123	3A	169437480	2118
3A_170113914	3A	356.6239504	2124	3A	170113914	2122
3B_728340274	3A	356.6239504	2125	3B	728340274	2910
3A_172656955	3A	356.6239504	2126	3A	172656955	2141
3A_175085762	3A	356.6239504	2127	3A	175085762	2159
3A_175698546	3A	356.6239504	2128	3A	175698546	2164
3A_177169380	3A	356.6239504	2129	3A	177169380	2182
3A_177385137	3A	356.6239504	2130	3A	177385137	2184
3B_712671176	3A	356.6239504	2131	3B	712671176	2858
3A_170700689	3A	356.6239504	2132	3A	170700689	2124
3A_171137983	3A	356.6239504	2133	3A	171137983	2129
3A_172009607	3A	356.6239504	2134	3A	172009607	2134
3A_172160477	3A	356.6239504	2135	3A	172160477	2135
3A_172161603	3A	356.6239504	2136	3A	172161603	2136
3A_172304560	3A	356.6239504	2137	3A	172304560	2137
3A_174197924	3A	356.6239504	2138	3A	174197924	2150
3A_174473556	3A	356.6239504	2139	3A	174473556	2154
3A_174829302	3A	356.6239504	2140	3A	174829302	2156
3A_175229363	3A	356.6239504	2141	3A	175229363	2161
3A_176847481	3A	356.6239504	2142	3A	176847481	2172
3A_176903008	3A	356.6239504	2143	3A	176903008	2173
3A_177086735	3A	356.6239504	2144	3A	177086735	2179
3A_177374602	3A	356.6239504	2145	3A	177374602	2183
3B_127825510	3A	356.6239504	2146	3B	127825510	2451
3B_709471568	3A	356.6239504	2147	3B	709471568	2848
3B_725169846	3A	356.6239504	2148	3B	725169846	2895
3B_706796472	3A	356.6239504	2149	3B	706796472	2843
3A_176946494	3A	356.6239504	2150	3A	176946494	2176
3A_171099686	3A	356.6239504	2151	3A	171099686	2128
3A_171437299	3A	356.6239504	2152	3A	171437299	2130
3A_173092990	3A	356.6239504	2153	3A	173092990	2142
3A_173341812	3A	356.6239504	2154	3A	173341812	2147
3A_174934940	3A	356.6239504	2155	3A	174934940	2158
3A_177137570	3A	356.6239504	2156	3A	177137570	2180
3A_177388535	3A	356.6239504	2157	3A	177388535	2185
7B_182501769	3A	356.6239504	2158	7B	182501769	6416
3A_169438322	3A	356.6239504	2159	3A	169438322	2119
3A_171835498	3A	356.6239504	2160	3A	171835498	2133
3A_176912404	3A	356.6239504	2161	3A	176912404	2174
3A_176928043	3A	356.6239504	2162	3A	176928043	2175
3A_169439778	3A	356.6239504	2163	3A	169439778	2120
3A_170835411	3A	356.6239504	2164	3A	170835411	2126
3A_171722014	3A	356.6239504	2165	3A	171722014	2132
3A_173174204	3A	356.6239504	2166	3A	173174204	2145
3A_174458991	3A	356.6239504	2167	3A	174458991	2153
3A_174923404	3A	356.6239504	2168	3A	174923404	2157
3A_175206475	3A	356.6239504	2169	3A	175206475	2160
3A_175866205	3A	356.6239504	2170	3A	175866205	2165
3A_177150802	3A	356.6239504	2171	3A	177150802	2181
3A_177397851	3A	356.6239504	2172	3A	177397851	2187
3A_174289938	3A	356.6239504	2173	3A	174289938	2151
3A_174303366	3A	356.6239504	2174	3A	174303366	2152
3A_177635082	3A	356.6239504	2175	3A	177635082	2188
3A_171620370	3A	356.6239504	2176	3A	171620370	2131
3A_172456168	3A	356.6239504	2177	3A	172456168	2139
3A_172594174	3A	356.6239504	2178	3A	172594174	2140
3A_173176465	3A	356.6239504	2179	3A	173176465	2146
3A_176116834	3A	356.6239504	2180	3A	176116834	2169
3A_176470382	3A	356.6239504	2181	3A	176470382	2171
3A_177016412	3A	356.6239504	2182	3A	177016412	2178
3B_647707145	3A	356.6239504	2183	3B	647707145	2757
6B_115895475	3A	356.6239504	2184	6B	115895475	5527
3A_171096247	3A	356.6239504	2185	3A	171096247	2127
3A_175867302	3A	356.6239504	2186	3A	175867302	2166
3A_176250861	3A	356.6239504	2187	3A	176250861	2170
3A_176989312	3A	356.6239504	2188	3A	176989312	2177
3A_177389317	3A	356.6239504	2189	3A	177389317	2186
3A_172396715	3A	359.3969436	2190	3A	172396715	2138
3A_175990591	3A	362.1998966	2191	3A	175990591	2168
3B_717600946	3A	364.9343297	2192	3B	717600946	2866
3B_737034241	3A	367.803356	2193	3B	737034241	2932
3B_738561846	3A	367.803356	2194	3B	738561846	2939
3B_737138686	3A	367.803356	2195	3B	737138686	2933
7A_107812980	3A	367.803356	2196	7A	107812980	6051
4B_39748467	3A	370.4070289	2197	4B	39748467	3557
3B_740026913	3A	370.4070289	2198	3B	740026913	2942
3B_738261646	3A	370.4070289	2199	3B	738261646	2938
3A_178370546	3A	374.0687972	2200	3A	178370546	2191
3A_178350633	3A	374.0687972	2201	3A	178350633	2189
3A_175942050	3A	374.0687972	2202	3A	175942050	2167
3A_179186867	3A	377.236828	2203	3A	179186867	2194
3B_525708793	3A	377.236828	2204	3B	525708793	2640
2A_34144458	3A	381.4749271	2205	2A	34144458	823
3A_178351726	3A	381.4749271	2206	3A	178351726	2190
3A_179573570	3A	381.4749271	2207	3A	179573570	2200
3A_179540667	3A	381.4749271	2208	3A	179540667	2199
3A_179705303	3A	381.4749271	2209	3A	179705303	2204
3A_179229695	3A	384.2175656	2210	3A	179229695	2195
3A_180012970	3A	386.614862	2211	3A	180012970	2209
3A_179886657	3A	390.78859	2212	3A	179886657	2206
3A_179313765	3A	395.2294424	2213	3A	179313765	2196
3A_178684866	3A	395.2294424	2214	3A	178684866	2193
3A_179414471	3A	395.2294424	2215	3A	179414471	2197
3A_180125682	3A	395.2294424	2216	3A	180125682	2210
3A_179879911	3A	395.2294424	2217	3A	179879911	2205
3A_179960876	3A	395.2294424	2218	3A	179960876	2208
3A_180155601	3A	400.4072623	2219	3A	180155601	2211
3A_179659775	3A	400.4072623	2220	3A	179659775	2202
3A_180156113	3A	400.4072623	2221	3A	180156113	2212
3A_179500093	3A	400.4072623	2222	3A	179500093	2198
3A_179660289	3A	400.4072623	2223	3A	179660289	2203
3A_179924047	3A	400.4072623	2224	3A	179924047	2207
3A_180296350	3A	407.466006	2225	3A	180296350	2214
3A_181197575	3A	414.0288552	2226	3A	181197575	2217
3A_181099896	3A	418.9959228	2227	3A	181099896	2216
3B_753910798	3A	423.9130954	2228	3B	753910798	2967
3B_749729968	3A	423.9130954	2229	3B	749729968	2959
3A_180622043	3A	428.6696794	2230	3A	180622043	2215
3B_757887194	3A	433.8982798	2231	3B	757887194	2985
3B_289560016	3A	439.1945723	2232	3B	289560016	2531
3B_759817594	3A	439.1945723	2233	3B	759817594	2992
3B_760676635	3A	443.5018409	2234	3B	760676635	2998
2B_314257727	3A	447.6065192	2235	2B	314257727	1708
3A_180220469	3A	447.6065192	2236	3A	180220469	2213
3A_181445120	3A	457.6625207	2237	3A	181445120	2220
3A_182284583	3A	457.6625207	2238	3A	182284583	2228
6B_203174011	3A	457.6625207	2239	6B	203174011	5727
3A_181480109	3A	457.6625207	2240	3A	181480109	2222
3A_181694990	3A	461.3060872	2241	3A	181694990	2224
3A_182081204	3A	464.5731664	2242	3A	182081204	2226
3B_763942836	3A	464.5731664	2243	3B	763942836	3009
3B_765043813	3A	464.5731664	2244	3B	765043813	3016
3B_765258238	3A	464.5731664	2245	3B	765258238	3018
3A_181612346	3A	469.2679249	2246	3A	181612346	2223
1B_119663901	3A	473.3187738	2247	1B	119663901	526
3A_182189978	3A	477.0603421	2248	3A	182189978	2227
3A_181434691	3A	481.3355371	2249	3A	181434691	2219
3A_183167013	3A	481.3355371	2250	3A	183167013	2234
3A_181404215	3A	486.2003208	2251	3A	181404215	2218
3A_183373733	3A	489.8872264	2252	3A	183373733	2236
3A_183344648	3A	489.8872264	2253	3A	183344648	2235
3B_768809574	3A	493.2333115	2254	3B	768809574	3037
3A_182794348	3A	497.2117755	2255	3A	182794348	2230
2A_14683436	3A	497.2117755	2256	2A	14683436	788
3A_183065096	3A	497.2117755	2257	3A	183065096	2233
2A_149217308	3A	501.4405605	2258	2A	149217308	960
3A_182898545	3A	501.4405605	2259	3A	182898545	2231
3A_183579503	3A	501.4405605	2260	3A	183579503	2238
3A_182714988	3A	501.4405605	2261	3A	182714988	2229
3A_183758060	3A	506.9232811	2262	3A	183758060	2241
3A_183744760	3A	506.9232811	2263	3A	183744760	2240
3A_184873568	3A	506.9232811	2264	3A	184873568	2251
3A_183432584	3A	506.9232811	2265	3A	183432584	2237
3A_183744632	3A	506.9232811	2266	3A	183744632	2239
3A_184394679	3A	506.9232811	2267	3A	184394679	2244
3A_184544586	3A	506.9232811	2268	3A	184544586	2245
3A_184564066	3A	506.9232811	2269	3A	184564066	2246
3A_184605725	3A	506.9232811	2270	3A	184605725	2247
3A_184605808	3A	506.9232811	2271	3A	184605808	2248
