CDS_name	CGI_begin	CGI_end	CGI_length	CGI_(G+C)_frequency	CGI_CpGo/e_ratio	CGI_start/no-start	dataset	CGI_start-score		
HS27K12.GLCLC	75176	76869	1618	0.600742	0.948523	start	train	0.66777177
HS283E3.PE11	32628	33651	1024	0.658203	0.604449	no-start	train	0.25282887
HS283E3.PE11	40247	42626	2151	0.642027	0.826630	no-start	train	0.64386691
HS283E3.PE11	4395	5333	 789	0.645120	0.634735	no-start	test	0.24425781
HS283E3.PE11	7864	9698	1612	0.673697	0.784047	no-start	test	0.54861666
HS283E3.PE6	20881	22272	1143	0.570429	0.617592	no-start	train	0.21341516
HS283E3.PE6	23068	23810	 743	0.656797	0.587036	no-start	train	0.20752223
HS283E3.PE6	27634	28553	 920	0.596739	0.586065	no-start	test	0.18504416
HS283E3.PE9	12950	14574	1625	0.569492	0.614194	no-start	train	0.26134705
HS283E3.PE9	27878	29238	1061	0.590952	0.961677	no-start	test	0.59674984
HS283E3.PE9	559	1398	 840	0.554762	0.573167	no-start	train	0.14654229
HS286B10.HMOX1	24369	25374	 721	0.574202	0.606902	no-start	test	0.16924843
HS286B10.HMOX1	33447	34423	 888	0.601351	0.573064	start	test	0.17571447
HS286B10.MCM5	30132	31107	 714	0.570028	0.571477	no-start	test	0.14392063
HS292E10.XBP1	81828	83354	1364	0.587243	0.893907	start	test	0.55704718
HS30M3.DJ30M3.3	30329	31874	1546	0.547865	0.811503	start	test	0.44517352
HS30M3.DJ30M3.3	51178	52444	1219	0.588187	0.719748	no-start	test	0.33310525
HS316G12.PE1	15573	16569	 977	0.670420	0.602377	no-start	train	0.25501343
HS316G12.PE1	836	2964	1899	0.727225	0.705788	start	train	0.55072656
HS316G12.PE3	12367	13111	 745	0.554362	0.649199	no-start	test	0.18959388
HS316G12.PE3	2725	3762	 958	0.587683	0.619124	no-start	train	0.20801228
HS316G12.PE3	9970	10621	 652	0.674847	0.579556	no-start	train	0.20472649
HS323M22.PACSIN2	146154	146663	 510	0.574510	0.595238	no-start	test	0.14540324
HS323M22.PE2	69002	70850	1733	0.629544	0.698141	no-start	train	0.41905052
HS327J16.CBX6	10701	12963	1982	0.632190	0.806433	start	train	0.58775430
HS327J16.CBX6	16738	18151	1244	0.674437	0.694980	no-start	test	0.38929937
HS327J16.DNAL4	28039	29285	 980	0.539796	0.674990	start	test	0.22310156
HS333A15.PE3	8418	10633	2159	0.612784	0.754895	start	test	0.53299990
HS333H23.PE3	29777	31340	1202	0.669717	0.718506	start	train	0.40598237
HS336H9.PE2	46440	47984	1382	0.544863	0.893933	no-start	train	0.51714983
HS336H9.PE2	50147	51368	1112	0.544964	0.604562	no-start	test	0.18411153
HS337O18.PE4	33844	34820	 927	0.578209	0.571069	start	train	0.16441376
HS337O18.PE4	56858	58298	1281	0.647151	0.709882	no-start	test	0.38540407
HS337O18.PLPT	1156	3075	1701	0.625514	0.605482	start	train	0.30799677
HS337O18.PPGB	23437	24279	 574	0.534843	0.585714	no-start	train	0.12569460
HS341E18.PE1	12116	14160	2023	0.587741	0.727801	no-start	train	0.45498628
HS341E18.PE2	19867	21175	1215	0.549794	0.898969	no-start	test	0.50347673
HS343K2.PE3	12405	13543	 839	0.665077	0.803546	start	train	0.44923896
HS347H13.PMM1	10643	11826	1052	0.653042	0.618096	start	train	0.26465077
HS349E11.SSTR5	13316	15675	2287	0.629209	0.779491	no-start	train	0.59707071
HS349E11.SSTR5	22145	22694	 550	0.656364	0.593257	no-start	train	0.19371960
HS349E11.SSTR5	23593	24769	 972	0.724280	0.613636	no-start	test	0.30941455
HS349E11.SSTR5	26066	26755	 690	0.639130	0.554502	no-start	train	0.16799276
HS34I8.ZNF184	27105	27935	 749	0.477971	0.654863	no-start	test	0.15035839
HS34I8.ZNF184	3401	4273	 801	0.471910	0.832009	no-start	test	0.29529267
HS34I8.ZNF184	49587	50629	 893	0.565510	0.732267	start	test	0.28524012
HS34I8.ZNF184	7453	8303	 822	0.493917	0.585341	no-start	train	0.12348208
HS356B7.UBE21	13197	13985	 789	0.543726	0.553806	no-start	test	0.12671178
HS356B7.UBE21	15019	15588	 570	0.522807	0.644767	no-start	test	0.15376541
HS356B7.UBE21	2488	3346	 859	0.636787	0.575799	no-start	test	0.19680942
HS356B7.UBE21	7575	8549	 825	0.597576	0.685102	no-start	test	0.25786658
HS364I1.PE1	60733	62383	1569	0.619503	0.707599	no-start	test	0.39680632
HS366N23.PE1	4806	5677	 772	0.528497	0.593632	no-start	train	0.14068267
HS377H14.HLA-F	8445	9997	1553	0.634256	0.710905	start	test	0.41273904
HS377H14.HLA-G	9087	10564	1456	0.650412	0.682439	start	train	0.38170416
HS37E16.LGALS1	11034	11806	 713	0.633941	0.586406	no-start	train	0.18951514
HS37E16.SH3BP1	6426	7419	 959	0.690302	0.593879	no-start	train	0.26049881
HS394P21.PAX7	11976	13860	1695	0.607670	0.733469	no-start	train	0.43364513
HS394P21.PAX7	14249	15096	 698	0.583095	0.620720	no-start	train	0.18214326
HS394P21.PAX7	15525	16691	1015	0.603941	0.627398	no-start	train	0.23192684
HS394P21.PAX7	5280	6652	1269	0.591017	0.703997	no-start	train	0.32537524
HS394P21.PAX7	86077	87056	 711	0.670886	0.725357	no-start	train	0.34664966
HS394P21.PAX7	91458	92023	 559	0.550984	0.546641	no-start	test	0.11185462
HS394P21.PAX7	9246	11333	2001	0.531734	0.704580	no-start	test	0.37000402
HS398I9.AML1	27244	31843	4317	0.634468	0.813849	start	test	0.85615174
HS398I9.AML1	51677	52872	1046	0.525813	0.984321	no-start	train	0.55701368
HS398I9.AML1	57442	58199	 758	0.674142	0.586761	no-start	train	0.22058976
HS402G11.MAPK11	3513	6074	2269	0.676509	0.693530	start	test	0.53957670
HS402G11.MAPK11	7304	8926	1454	0.673315	0.700215	no-start	train	0.42432583
HS407A10.PE1	11807	12336	 530	0.720755	0.601606	no-start	test	0.24283586
HS407A10.PE1	1788	2893	 927	0.706580	0.740289	start	test	0.42816849
HS407A10.PE1	20757	23435	2679	0.676979	0.873480	no-start	train	0.78121405
HS407A10.PE1	28466	29382	 917	0.599782	0.563079	no-start	test	0.17036504
HS407A10.PE1	31623	32660	1038	0.568401	0.609008	no-start	train	0.19523315
HS407A10.PE1	3838	4502	 515	0.514563	0.593797	no-start	train	0.11737784
HS407F11.ADRBK2	14572	16533	1962	0.609665	0.653757	start	train	0.38090563
HS407F11.ADRBK2	192706	193464	 759	0.540184	0.586667	no-start	test	0.14139816
HS407F17.PE1	15568	16283	 716	0.502793	0.606570	no-start	train	0.13190058
HS407F17.PE1	66357	68622	2266	0.708868	0.720295	no-start	train	0.60276028
HS407F17.PE1	9683	10548	 566	0.696113	0.777473	start	test	0.40950630
HS431A14.PE1	2672	5504	2771	0.636593	0.737228	start	train	0.62383496
HS431H6.C431H6.1	11763	12298	 536	0.496269	0.611872	no-start	train	0.12007574
HS431H6.C431H6.1	23289	24080	 772	0.562176	0.610799	no-start	test	0.16930847
HS431H6.C431H6.1	9200	10687	1450	0.617241	0.905202	start	train	0.61206672
HS434O14.PE3	2286	3140	 705	0.575887	0.633239	no-start	train	0.18748757
HS434O14.PE3	38843	39944	1044	0.512452	0.743336	no-start	test	0.27087662
HS434O14.PE7	26082	27137	 756	0.544974	0.819802	start	test	0.34073257
HS434O14.PE7	4182	5296	 986	0.614604	0.637985	no-start	train	0.24593713
HS436M11.PPEF1	2362	3833	1259	0.591739	0.772761	no-start	test	0.40130354
HS437O22.PE1	181	1711	1404	0.631766	0.728194	start	train	0.40913942
HS453C12.MATN4	12642	13984	1193	0.625314	0.724204	no-start	test	0.36866574
HS453C12.MATN4	1765	3073	1200	0.605000	0.803604	no-start	train	0.44215809
HS453C12.MATN4	8016	9284	 969	0.592363	0.709647	no-start	train	0.29436952
HS453C12.SDC4	19687	20698	 983	0.569685	0.664562	no-start	train	0.23587588
HS453C12.SDC4	29023	30897	1650	0.683636	0.715932	no-start	test	0.48220208
HS453C12.SDC4	61932	63024	 867	0.554787	0.569606	no-start	test	0.14640521
HS453C12.SDC4	72239	73729	1191	0.583543	0.721076	no-start	test	0.32670368
HS453C12.SDC4	87484	88719	 976	0.646516	0.739842	start	test	0.37629584
HS455J7.PE2	37056	38408	1145	0.633188	0.836530	start	train	0.50200170
HS45P21.BTF4	1183	2298	1059	0.494806	0.821110	no-start	train	0.33693847
HS45P21.BTF4	38022	38748	 577	0.523397	0.888864	no-start	train	0.37290377
HS45P21.BTF4	99316	99920	 605	0.563636	0.590909	no-start	test	0.14434155
HS461P17.PE8	212	1031	 693	0.542569	0.588485	no-start	test	0.13890442
HS461P17.PE8	33100	34857	1648	0.667476	0.566677	start	train	0.29761338
HS462O23.PE1	2684	4560	1877	0.534363	0.613443	no-start	test	0.26206145
HS462O23.PE2	11596	12762	 939	0.536741	0.712623	no-start	train	0.24926088
HS465N24.PE1	9657	10768	 812	0.597291	0.714789	start	test	0.28443900
HS465N24.PE2	20095	22323	2201	0.582463	0.931313	start	test	0.70819533
HS465N24.PE2	228	2046	1457	0.571723	0.820884	no-start	train	0.46725583
HS465N24.PE2	27936	28843	 810	0.550617	0.614542	no-start	test	0.16844752
HS466N1.GALR3	7592	9097	1296	0.703704	0.848914	no-start	test	0.60884034
HS466N1.GCAT	12132	13429	1219	0.649713	0.686378	no-start	test	0.35283695
HS473B4.PE1	46175	47334	1069	0.627689	0.613931	no-start	train	0.24333416
HS479J7.TM4SF6	9134	10395	1262	0.527734	0.724098	start	train	0.29067564
HS508I15.GTPBP1	5170	7123	1743	0.582329	0.843771	start	test	0.54779931
HS508I15.PE1	28333	29848	1456	0.584478	0.760660	start	train	0.40827933
HS508I15.PE1	53864	55274	1319	0.561789	0.761425	no-start	test	0.36811155
HS510H16.TOM1	5615	6697	1068	0.617978	0.638175	start	train	0.25783760
HS511B24.PLCG1	12885	15037	1967	0.709710	0.792591	start	test	0.64390975
HS511E16.PE2	15067	16315	1099	0.572338	0.733348	start	test	0.31784591
HS512B11.PE1	50607	51353	 747	0.516734	0.601692	no-start	train	0.13787195
HS512B11.PE1	55197	56183	 687	0.652111	0.864396	no-start	test	0.48691781
HS512B11.PE1	6296	8887	2521	0.623562	0.861049	start	train	0.71158249
HS522J7.BRD1	14919	15616	 548	0.735401	0.686941	no-start	test	0.34183748
HS522J7.BRD1	15935	17189	1105	0.655204	0.874135	no-start	train	0.56339647
HS522J7.BRD1	18801	20674	1728	0.553819	0.688591	no-start	test	0.33582773
HS522J7.BRD1	40319	41392	1074	0.589385	0.602840	no-start	test	0.20751510
HS522J7.BRD1	44412	45712	1151	0.543875	0.613610	no-start	train	0.19367283
HS522J7.BRD1	48984	49646	 663	0.526395	0.592552	no-start	train	0.13147814
HS522J7.BRD1	55334	56115	 782	0.535806	0.659329	no-start	test	0.18895452
HS522J7.BRD1	57834	59482	1649	0.590661	0.626203	no-start	train	0.29293852
HS522J7.BRD1	64979	66479	1501	0.595603	0.578623	no-start	train	0.23528286
HS522J7.BRD1	68544	69319	 776	0.519330	0.659567	no-start	train	0.17860291
HS522J7.BRD1	71237	72380	1144	0.683566	0.616541	no-start	test	0.29911848
HS522J7.BRD1	78661	79164	 504	0.583333	0.606526	no-start	train	0.15650354
HS526I14.BZRP	5306	6752	1307	0.666412	0.660965	start	train	0.35213520
HS53C18.CAT	6649	7992	1234	0.564019	0.677892	start	test	0.27186572
HS596C15.PE2	60620	61691	1042	0.508637	0.718115	start	test	0.24441691
HS5O6.CSNK1E	12057	13172	 966	0.608696	0.738775	start	train	0.33865387
HS5O6.CSNK1E	55779	57277	1384	0.639451	0.790873	no-start	train	0.48861471
HS5O6.CSNK1E	78879	79561	 683	0.513909	0.560608	no-start	train	0.11096905
HS625H18.PE1	111535	114500	2805	0.624599	0.877646	start	train	0.76056352
HS625H18.PE1	79218	80505	1288	0.557453	0.823806	no-start	test	0.43170078
HS64K7.EIF2B2	9561	11412	1702	0.579318	0.813653	start	test	0.50245737
HS681N20.PE1	50521	51834	1126	0.639432	0.802889	no-start	test	0.46493184
HS681N20.PE1	59528	60368	 764	0.528796	0.620450	start	test	0.15661592
HS684O24.PDYN	57903	58673	 771	0.527886	0.559290	no-start	train	0.12147074
HS684O24.PDYN	76174	77361	 959	0.570386	0.657538	no-start	test	0.22780574
HS696P19.MDFI	15428	18712	3001	0.650450	0.661953	start	test	0.58288051
HS696P19.MDFI	24296	24976	 604	0.556291	0.507868	no-start	test	0.09875901
HS69E11.PE3	25761	27076	1232	0.542208	0.742336	start	train	0.31793696
HS718J7.PCK1	125480	126073	 594	0.498316	0.601990	no-start	train	0.11954012
HS718J7.PCK1	2874	3624	 751	0.529960	0.568251	no-start	train	0.12578414
HS718J7.PCK1	38418	39039	 622	0.570740	0.594343	no-start	test	0.15131784
HS738P15.CD39L2	25798	26945	 998	0.647295	0.696461	no-start	test	0.33211090
HS738P15.CD39L2	72827	74169	1129	0.654562	0.678436	start	train	0.33655334
HS739H11.PE1	29656	31110	1455	0.604124	0.764721	no-start	test	0.43226264
HS739H11.PE1	56142	57123	 901	0.674806	0.581259	start	test	0.23123206
HS739H11.PE1	67580	68316	 600	0.620000	0.552995	no-start	test	0.14958100
HS73H22.PE1	50421	52773	2072	0.581564	0.771144	start	train	0.50821972
HS782L23.PE1	72862	74462	1268	0.633281	0.731584	start	test	0.39516989
HS79C4.PE2	38572	41354	2706	0.525499	0.701318	no-start	test	0.46125073
HS79C4.PE2	42423	44164	1699	0.600942	0.652613	no-start	train	0.33572963
HS79C4.PE2	45353	46167	 767	0.577575	0.601632	no-start	train	0.17143144
HS79C4.PE2	46810	47663	 854	0.484778	0.619014	no-start	train	0.14001126
HS79C4.PE2	49752	50393	 642	0.489097	0.626341	no-start	test	0.13147317
HS833B7.NCF4	7486	8399	 634	0.525237	0.669020	no-start	test	0.17646818
HS862K6.PE1	45857	47690	1684	0.604513	0.810747	no-start	train	0.52173500
HS862K6.PE1	53192	54060	 869	0.683544	0.530227	start	train	0.19286477
HS862K6.PE3	33394	35553	2010	0.610945	1.022129	start	train	0.79038628
HS886K2.GALE	858	2349	1342	0.668405	0.733917	start	test	0.44312571
HS886K2.PE1	41869	43620	1574	0.651842	0.935235	start	train	0.69306183
HS886K2.PE1	89766	90803	 945	0.602116	0.617496	no-start	train	0.21514939
HS886K2.PE2	18234	19610	1140	0.605263	0.891644	no-start	test	0.53950496
HS889N15.PE3	33924	35206	1213	0.558945	0.771487	start	train	0.36214863
HS88L2.CD34	111651	112929	1258	0.579491	0.614746	start	test	0.22909883
HS88L2.CD34	153487	154807	1321	0.666162	0.708661	no-start	train	0.40805899
HS88L2.CD34	58987	60265	1279	0.654418	0.660982	no-start	test	0.33745066
HS88L2.CD34	63004	64515	1421	0.627023	0.716049	no-start	test	0.39286406
HS892F13.TNFRSF9	8321	9211	 591	0.629442	0.652849	no-start	train	0.22745691
HS8B1.DJ8B1.2	47043	48357	1315	0.554373	0.732535	no-start	train	0.32910645
HS90G24.RFPL2	23282	24306	1025	0.691707	0.608680	no-start	test	0.28351640
HS934G17.NPPB	62223	63406	1146	0.613438	0.632296	start	test	0.25773760
HS963K23.PE3	20178	21537	1060	0.669811	0.826649	start	test	0.51449007
HS963K23.PE3	27731	28256	 526	0.557034	0.588751	no-start	train	0.13428049
HS963K23.PE3	29484	30427	 944	0.602754	0.575409	no-start	train	0.18310281
HS967N21.CHGB	4170	5452	1283	0.561964	0.683184	start	test	0.28112626
HS967N21.PE7	11080	12642	1533	0.583823	0.865046	start	train	0.54391640
HS967N21.PE7	46269	48175	1770	0.633333	0.617179	no-start	test	0.33615184
HS973M2.PTGS2	32855	34093	1089	0.550046	0.789923	start	test	0.35744372
HS97D16.H3F1K	1185	2229	1045	0.503349	0.832392	start	test	0.35520705
HS97P20.PE1	21572	23154	1484	0.560647	0.694793	start	test	0.31669580
HS998H6.PE1	105780	106841	 808	0.641089	0.669761	no-start	train	0.27581269
HS998H6.PE1	55317	56485	 992	0.653226	0.672574	start	test	0.31139420
HS998H6.PE1	60159	61031	 852	0.523474	0.551629	no-start	train	0.12074327
HS998H6.PE1	79225	80148	 723	0.597510	0.536549	no-start	train	0.13760091
HS998H6.PE1	96289	97424	 876	0.657534	0.702776	no-start	train	0.33202049
HSA012008.G6	10606	11921	1316	0.611702	0.624998	no-start	train	0.26908471
HSA012008.G6	740	2074	1235	0.587045	0.724401	no-start	train	0.33920643
HSA012159.5T4	1690	4293	2537	0.637367	0.769870	start	train	0.62900812
HSA131341.OGG1	1178	2707	1448	0.601519	0.632651	start	train	0.28389120
HSA224869.CXCR4	882	4619	3380	0.565680	0.769285	start	test	0.67588783
HSA243425.EGR1	628	4779	4152	0.642065	0.639865	start	train	0.70603818
HSA243650.PE1	741	1738	 996	0.617470	0.602138	start	train	0.21822585
HSA246003.SPAST	9272	10897	1435	0.622300	0.845853	start	train	0.54510224
HSA6216.CACNA1F	1382	2465	 784	0.632653	0.806384	no-start	test	0.41247667
HSA6216.CACNA1F	4767	5734	 968	0.630165	0.552075	no-start	train	0.18495673
HSA6345.PE2	117475	117999	 525	0.510476	0.648439	no-start	train	0.14626993
HSA6345.PE2	127009	127737	 627	0.625199	0.510265	no-start	train	0.12928849
HSA6345.PE2	252355	254633	2240	0.670089	0.741366	no-start	test	0.58578146
HSA6345.PE2	285935	286445	 511	0.634051	0.605913	no-start	train	0.18569622
HSA6345.PE2	344722	346012	1291	0.669249	0.636837	no-start	train	0.32646349
HSA6345.PE2	349953	350795	 843	0.640569	0.543864	no-start	test	0.17439373
HSA6345.PE2	360425	361461	 902	0.608647	0.586585	no-start	train	0.19115096
HSA6345.PE2	87280	88110	 726	0.607438	0.555376	no-start	train	0.15413887
HSA6952.IGFBP-6	644	1461	 773	0.681759	0.552933	start	test	0.20005624
HSAC002115.COX6B	20018	20768	 601	0.542429	0.633966	no-start	test	0.15978497
HSAC002115.COX6B	3018	4439	 914	0.579869	0.629477	no-start	train	0.20675226
HSAF001550.PE3	22009	23130	 794	0.612091	0.793462	no-start	test	0.37910138
HSAF001550.PE3	27581	28560	 830	0.567470	0.700165	start	train	0.24916095
HSAF001550.PE3	4193	5861	1369	0.636231	0.791937	no-start	test	0.48442514
HSAJ03147.MMP20	101237	102067	 831	0.601685	0.566157	no-start	test	0.16638697
HSAJ03147.MMP20	108690	110499	1411	0.630050	0.664959	no-start	train	0.33720927
HSAJ03147.MMP20	111134	112398	1055	0.516588	0.872694	no-start	train	0.41529881
HSAJ03147.MMP20	116380	118814	2103	0.624346	0.754027	no-start	test	0.53533006
HSAJ03147.MMP20	129367	131761	2395	0.599429	0.624973	no-start	test	0.39903532
HSAJ03147.MMP20	134532	135109	 505	0.590099	0.569309	no-start	test	0.13748999
HSAJ03147.MMP20	141679	143777	1855	0.597844	0.753872	no-start	train	0.47169558
HSAJ03147.MMP20	146959	149465	2229	0.573800	0.659839	no-start	test	0.39100524
HSAJ03147.MMP20	150141	150982	 769	0.496749	0.611724	no-start	test	0.13559290
HSAJ03147.MMP20	151473	152984	 968	0.574380	0.792793	no-start	train	0.36680653
HSAJ03147.MMP20	154007	154764	 507	0.544379	0.693096	no-start	test	0.19434120
HSAJ03147.MMP20	17289	19090	1765	0.708215	0.647623	no-start	train	0.44185637
HSAJ03147.MMP20	4674	6526	1614	0.706320	0.686303	no-start	test	0.46407273
HSAJ03147.MMP20	47988	49944	1957	0.664793	0.734979	no-start	train	0.53159614
HSAJ03147.MMP20	65163	66306	 994	0.585513	0.763883	no-start	test	0.34860874
HSAJ03147.MMP20	78375	79758	1363	0.669846	0.655944	no-start	test	0.35735944
HSAJ03147.MMP20	83072	84337	1116	0.648746	0.681428	no-start	test	0.33281944
HSAJ03147.MMP20	93225	95039	1552	0.574098	0.790886	no-start	train	0.44765426
HSAJ03147.MMP20	99701	100910	1124	0.658363	0.650520	no-start	test	0.30978416
HSAJ03147.ZNFMF	6694	8783	2090	0.597644	0.704739	start	train	0.44715129
HSAJ9610.AIRE	22044	23109	1066	0.710131	0.593658	start	train	0.28887562
HSAJ9610.AIRE	30069	30792	 574	0.693380	0.547131	no-start	train	0.18468402
HSALADG.ALAD	2077	3310	1084	0.604244	0.660331	start	test	0.26967621
HSAP2GEN.AP-2	11461	13173	1669	0.579988	0.748718	no-start	test	0.42051142
HSAP2GEN.AP-2	18065	18754	 611	0.625205	0.557400	no-start	train	0.15590099
HSAP2GEN.AP-2	572	7408	6837	0.555831	0.721963	start	test	0.92522268
HSATPCP1.PE1	3949	5494	1396	0.563754	0.651254	start	train	0.26524189
HSATPCP2.PE1	2162	4546	2261	0.563025	0.686969	start	test	0.41662507
HSAY18000.NF2	124732	125896	1015	0.728079	0.713794	no-start	test	0.43089003
HSAY18000.NF2	7841	9451	1461	0.600958	0.796694	start	train	0.46818500
HSBAT2.BAT2	22165	23963	1728	0.562500	0.864796	start	test	0.55089173
HSBAT2.BAT2	33927	34491	 565	0.646018	0.577501	no-start	test	0.17725355
HSCALCAC.CGRP	1644	2447	 714	0.581232	0.564086	start	train	0.14510754
HSCDCREL1.PE1	2938	4195	 961	0.711759	0.627268	start	train	0.31127670
HSCDCREL1.PE1	6936	8516	1317	0.733485	0.796573	no-start	train	0.57992834
HSCOLPDGF.COL1A1	2280	4852	2573	0.633425	0.641074	start	test	0.47782537
HSCSKPTK.CSK	4428	5259	 832	0.614183	0.589707	no-start	train	0.19052932
HSCTPI1T5.TNNI3	1725	2841	1116	0.628136	0.602993	no-start	train	0.23909363
HSDJ129L7.PE1	39409	40244	 836	0.467703	0.788722	start	test	0.25442134
HSDJ261K5.DDO	24365	25348	 984	0.655488	0.578824	no-start	train	0.22408060
HSDJ261K5.DDO	65924	68185	2060	0.568447	0.675798	no-start	test	0.38040881
HSDJ475B7.PE2	16345	17485	 991	0.663976	0.623703	no-start	test	0.27154524
HSDJ475B7.PE2	33581	34824	1244	0.536977	0.712246	start	train	0.28441829
HSDJ486I3.TSPYL	10519	11972	1202	0.584027	0.776054	start	test	0.38957557
HSDJ65P5.RCN1	4718	6479	1490	0.651678	0.796507	start	train	0.52346496
HSE146D10.TST	3835	6146	2174	0.660994	0.701631	start	train	0.51967234
HSEWSGAR.EWS	15126	17479	2137	0.615817	0.750344	start	test	0.52733098
HSEWSGAR.EWS	53913	55702	1556	0.672879	0.630300	no-start	train	0.35799997
HSEWSGAR.GAR22	12785	16217	3155	0.651030	0.762553	no-start	test	0.71384993
HSFGFR4G.FGFR-4	630	1899	1149	0.684073	0.640332	start	test	0.32485059
HSFGFR4G.FGFR-4	7261	8156	 751	0.651132	0.552945	no-start	test	0.17905570
HSG13G.G13	402	1250	 847	0.590319	0.597271	start	train	0.18277825
HSGRAF.GRAF	1690	2195	 506	0.543478	0.601093	no-start	train	0.13346306
HSHFE.HFE	865	1854	 990	0.527273	0.610393	start	train	0.16736608
HSHOX3D.HOX3D	2068	4414	2332	0.594340	0.715630	start	test	0.49262423
HSHOXD3.HOXD3	15001	16597	1597	0.609894	0.759546	no-start	test	0.45261061
HSHOXD3.HOXD3	288	5107	4511	0.560408	0.670769	start	test	0.71261371
HSHOXD3.HOXD3	6109	7265	1127	0.566105	0.559739	start	test	0.16646741
HSHOXD3.HOXD3	7969	9404	1413	0.556971	0.768830	no-start	train	0.38501277
HSICK721Q.HSET	1477	3071	1595	0.574922	0.797690	start	train	0.46295057
HSICK721Q.HSET	20338	22206	1729	0.649508	0.698526	no-start	test	0.43869422
HSICK721Q.PE6	1560	2886	1327	0.602864	0.630577	start	train	0.26863911
HSINPPI2.INPP1	3021	4470	1426	0.619916	0.783323	start	test	0.46602502
HSJ002223.KIF3C	113	618	 506	0.652174	0.597403	no-start	train	0.19015337
HSJ245M18.PE2	36330	37610	1181	0.621507	0.631621	no-start	train	0.26743976
HSJ437M21.PE2	13523	15165	1440	0.677778	0.882129	start	test	0.64184957
HSJ437M21.PE2	778	1712	 935	0.515508	0.613252	no-start	train	0.15832168
HSJ501M23.HTR1B	2332	4976	2579	0.603722	0.645721	start	test	0.45441391
HSJ501M23.HTR1B	440	1069	 630	0.488889	0.584440	no-start	train	0.10925805
HSJ503F13.IFNGR1	32263	33388	 874	0.599542	0.802244	start	train	0.38834659
HSJ570L12.PE2	56822	58006	1036	0.608108	0.648127	start	train	0.25577578
HSJ570L12.PGK1	49957	51420	1314	0.573820	0.832207	start	train	0.46188674
HSJ647M16.FRAP1	3358	4534	1177	0.580289	0.660939	start	train	0.26210340
HSJ734P14.PE2	11651	12980	1180	0.565254	0.806302	start	train	0.40325160
HSJ753D10.SSTR4	63880	65592	1648	0.668083	0.718083	start	test	0.46881489
HSJ753D10.THBD	17226	21497	4251	0.649965	0.728909	start	test	0.80169879
HSJ773A18.RAP1A	88754	91297	2196	0.663024	0.726766	no-start	train	0.55512161
HSJ858B16.PISD	7979	8878	 900	0.707778	0.571474	start	test	0.24677094
HSJ907D15.STX16	36136	37037	 733	0.507503	0.508630	no-start	test	0.08881305
HSJ907D15.STX16	38431	39022	 592	0.525338	0.589348	no-start	train	0.12457690
HSKI67.KI-67	10978	12630	1572	0.617048	0.852447	start	test	0.56775974
HSLUCA11.PE2	4567	5760	1064	0.646617	0.641252	start	test	0.28313771
HSMDR1A.MDR1	724	2030	1307	0.527161	0.742941	start	test	0.31502439
HSMHC3A5.NOTCH4	51068	52660	1593	0.626491	0.665871	no-start	train	0.35942330
HSMHCPU10.PE1	213	1755	1480	0.601351	0.577770	start	train	0.23648576
HSMHCT8S22.BF	1643	2170	 528	0.602273	0.587599	no-start	train	0.15642202
HSMUC181.MUC18	496	2006	1435	0.680139	0.645288	start	train	0.36493168
HSN10C3.PDGFB	5283	8393	2737	0.693095	0.761961	start	test	0.69712131
HSN44A4.YWHAH	23340	25476	1936	0.653926	0.821404	start	test	0.61954655
HSP53G.P53	1674	2506	 683	0.528551	0.776136	no-start	train	0.27276870
HSP53G.P53	852	1353	 502	0.541833	0.605618	no-start	test	0.13495443
HSRINGG.RFB30	5643	6145	 501	0.628743	0.606635	no-start	train	0.18210913
HSRPS7.RPS7	1305	2755	1269	0.617809	0.741238	start	test	0.39151092
HSRSGCG.RETGC	11298	12589	1292	0.671827	0.594223	no-start	train	0.28515255
HSRSGCG.RETGC	3538	4255	 704	0.605114	0.513437	no-start	test	0.12702599
HSSYTV.SYT-V	3893	4762	 869	0.621404	0.548950	no-start	test	0.16905844
HSSYTV.SYT-V	5312	6316	 984	0.663618	0.603487	no-start	test	0.25161038
HSTDA.PE1	1253	3639	2346	0.645780	0.686734	no-start	test	0.51179884
HSTUBB2.BETA-2	2277	3009	 733	0.593452	0.542389	no-start	train	0.13971820
HSU17084.NF1	2843	3834	 842	0.589074	0.698301	start	train	0.26548890
HSU19107.ZNF127	584	1148	 565	0.523894	0.626386	start	test	0.14273930
HSU20816.NF-KB2	955	3393	2289	0.635649	0.669014	start	train	0.47174637
HSU22970.PE2	3928	4750	 673	0.628529	0.662431	no-start	train	0.24387831
HSU29185.PRP	12175	13902	1604	0.635287	0.827989	start	test	0.56150941
HSU34879.EDH17B2	27752	29852	1803	0.650582	0.714097	no-start	train	0.46927667
HSU34879.EDH17B2	36314	38054	1713	0.605371	0.599194	no-start	test	0.28614000
HSU34879.EDH17B2	41019	42500	1400	0.655000	0.716637	no-start	test	0.41780844
HSU36341.SLC6A8	5028	6009	 751	0.727031	0.804113	start	train	0.49933319
HSU41315.PE1	3031	3970	 790	0.640506	0.721291	no-start	test	0.32531538
HSU43842.HBMP-4	2552	8393	5842	0.586884	0.683568	start	train	0.86598038
HSU47924.A	4606	5231	 626	0.615016	0.545623	no-start	test	0.14452043
HSU47924.A	8757	10415	1498	0.677570	0.727337	no-start	train	0.46735890
HSU47924.C10	1916	3220	1093	0.575480	0.801760	start	test	0.39553783
